,State,County,"Population estimates, July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Housing units in multi-unit structures, percent, 2009-2013","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Population per square mile, 2010","Land area in square miles, 2010",full_name,fips_code
0,ALABAMA,AUTAUGA COUNTY,"55,601",1.9%,"54,574","54,571",6.1%,23.7%,15.6%,51.4%,76.7%,19.6%,0.5%,1.2%,0.1%,1.8%,3.0%,74.3%,"5,071",2.0%,"23,734",74.9%,"$147,900","$1,176",$357,$966,8.3%,185,"21,115",2.59,86.0%,3.8%,87.0%,78.9%,88.7%,27.7%,14.1%,8.7%,58.1%,51.9%,"93,431","119,403","665,897",,"607,854","$10,950",25.8,"$58,786","$29,372",13.8%,869,"11,036","360,936",2.3%,"3,234","2,949","1,499","1,093",616,"2,160",285,"2,401",15.2%,0.0%,1.3%,0.0%,0.7%,31.7%,91.8,594.44,"AUTAUGA COUNTY, ALABAMA",01001
1,ALABAMA,BALDWIN COUNTY,"218,022",19.6%,"182,264","182,265",5.5%,21.6%,20.4%,51.5%,87.3%,8.9%,0.8%,1.2%,0.1%,1.8%,4.6%,83.1%,"19,354",3.4%,"116,631",73.6%,"$189,800","$1,359",$369,$958,24.4%,"3,047","78,622",2.61,88.6%,5.4%,88.6%,78.1%,90.3%,31.3%,9.1%,11.3%,58.3%,54.1%,"560,602","622,454","1,438,760","1,118,210","3,145,789","$16,488",27.4,"$55,962","$31,203",9.8%,"5,384","61,792","2,087,497",0.7%,"19,408","19,732","10,935","6,505","2,130","16,893","2,364","16,183",2.7%,0.4%,1.0%,0.0%,1.3%,27.3%,114.6,"1,589.78","BALDWIN COUNTY, ALABAMA",01003
2,ALABAMA,BARBOUR COUNTY,"24,881",-9.4%,"27,457","27,457",5.2%,20.9%,19.4%,47.2%,49.1%,48.4%,0.7%,0.5%,0.2%,1.2%,4.3%,45.6%,"1,561",2.5%,"12,005",61.4%,"$92,900",$950,$341,$590,10.6%,6,"9,186",2.49,84.6%,6.1%,76.1%,60.4%,73.0%,12.2%,15.8%,12.2%,46.0%,46.4%,"26,157","66,727","735,098","113,959","206,477","$7,591",22.7,"$34,186","$18,461",30.9%,455,"6,834","237,076",-0.3%,"1,379","1,687",755,760,657,941,147,"1,445",0.0%,0.0%,0.0%,0.0%,0.0%,27.0%,31.0,884.88,"BARBOUR COUNTY, ALABAMA",01005
3,ALABAMA,BIBB COUNTY,"22,400",-2.3%,"22,920","22,915",5.7%,20.5%,16.5%,46.8%,76.8%,21.3%,0.4%,0.2%,0.1%,1.1%,2.6%,74.6%,"1,278",1.4%,"9,239",75.1%,"$96,500","$1,093",$331,$714,7.3%,13,"6,840",2.99,88.6%,2.4%,76.3%,66.1%,83.2%,11.5%,11.8%,10.2%,47.4%,46.7%,"10,136",,"117,488","41,014","118,871","$5,260",29.2,"$45,340","$20,199",21.8%,284,"3,484","136,216",2.9%,"1,150","1,310",958,254,205,"1,050",288,967,14.9%,0.0%,0.0%,0.0%,0.0%,0.0%,36.8,622.58,"BIBB COUNTY, ALABAMA",01007
4,ALABAMA,BLOUNT COUNTY,"57,840",0.9%,"57,321","57,322",6.0%,23.2%,18.2%,50.7%,95.9%,1.6%,0.7%,0.3%,0.1%,1.4%,9.6%,86.9%,"3,765",4.4%,"24,429",78.6%,"$124,700","$1,100",$342,$662,4.5%,11,"20,600",2.77,93.8%,8.0%,78.7%,68.5%,80.2%,12.6%,9.5%,13.4%,48.5%,41.8%,"27,146",,"342,971","153,662","298,745","$5,166",35.1,"$48,695","$22,656",13.2%,698,"6,645","215,192",5.7%,"3,568","4,550","2,746","1,400",368,"4,011",353,"4,030",0.0%,0.0%,0.0%,0.0%,0.0%,23.2%,88.9,644.78,"BLOUNT COUNTY, ALABAMA",01009
5,ALABAMA,BULLOCK COUNTY,"10,138",-7.1%,"10,911","10,914",5.9%,21.1%,16.4%,45.5%,26.2%,70.7%,0.8%,0.2%,0.7%,1.3%,8.0%,21.2%,356,0.9%,"4,552",75.5%,"$77,500","$1,020",$404,$668,8.7%,,"3,609",2.75,91.9%,1.9%,72.9%,58.9%,75.2%,13.3%,10.9%,11.4%,52.7%,47.7%,,"30,309",,,"92,594","$8,840",28.6,"$32,152","$20,346",42.5%,107,"1,978","63,818",-5.7%,502,650,252,365,389,229,82,538,0.0%,0.0%,0.0%,0.0%,0.0%,38.8%,17.5,622.81,"BULLOCK COUNTY, ALABAMA",01011
6,ALABAMA,BUTLER COUNTY,"19,680",-6.0%,"20,943","20,947",5.7%,22.2%,20.3%,53.4%,52.3%,44.9%,0.4%,1.3%,0.1%,1.1%,1.5%,51.3%,"1,174",1.4%,"10,087",69.9%,"$88,300",$937,$358,$606,13.3%,7,"6,708",2.94,92.3%,1.4%,70.1%,62.1%,84.6%,16.1%,12.5%,11.2%,52.9%,51.1%,"32,184","89,018","811,313","63,499","209,049","$10,294",24.0,"$39,109","$20,430",24.5%,422,"5,983","184,588",-2.8%,"1,099","1,390",741,497,416,889,176,"1,128",0.0%,0.0%,3.3%,0.0%,0.0%,0.0%,27.0,776.83,"BUTLER COUNTY, ALABAMA",01013
7,ALABAMA,CALHOUN COUNTY,"114,277",-3.6%,"118,594","118,572",5.8%,21.6%,17.7%,51.9%,75.3%,21.1%,0.5%,1.0%,0.1%,2.0%,3.9%,72.0%,"9,549",2.7%,"53,888",69.5%,"$113,800","$1,045",$328,$680,13.8%,70,"45,033",2.49,83.3%,4.2%,84.7%,73.0%,84.1%,18.0%,15.7%,11.9%,56.7%,51.9%,"199,072","573,528","2,713,200","1,808,828","1,463,477","$12,477",25.0,"$45,197","$24,706",19.5%,"2,319","36,301","1,247,795",1.3%,"6,566","7,513","4,113","2,570","1,041","6,103",938,"6,084",7.2%,0.0%,1.6%,0.0%,0.5%,24.7%,195.7,605.87,"CALHOUN COUNTY, ALABAMA",01015
8,ALABAMA,CHAMBERS COUNTY,"33,615",-1.6%,"34,171","34,215",5.7%,20.8%,19.5%,52.1%,57.1%,40.0%,0.3%,1.3%,,1.3%,2.6%,55.2%,"2,209",1.4%,"17,023",67.8%,"$88,400",$947,$338,$715,11.1%,15,"13,516",2.46,89.0%,2.2%,75.8%,66.5%,81.4%,13.2%,11.8%,11.9%,56.3%,50.5%,"30,302","99,136","474,018","32,600","281,987","$8,278",23.6,"$39,872","$22,827",18.7%,554,"6,899","226,403",9.9%,"2,175","2,812","1,504","1,143","1,107","1,635",335,"2,389",0.0%,0.0%,0.0%,0.0%,0.0%,29.3%,57.4,596.53,"CHAMBERS COUNTY, ALABAMA",01017
9,ALABAMA,CHEROKEE COUNTY,"26,032",0.2%,"25,989","25,989",4.6%,19.2%,23.0%,50.5%,93.0%,4.3%,0.7%,0.3%,,1.7%,1.6%,91.7%,"2,086",0.8%,"16,661",79.0%,"$123,100","$1,115",$355,$606,4.6%,8,"10,606",2.41,90.2%,1.2%,80.1%,68.6%,80.2%,12.9%,14.6%,11.2%,48.6%,41.2%,"17,160","35,722","367,956","55,181","200,191","$7,693",28.1,"$41,014","$23,356",16.3%,361,"4,491","129,564",15.0%,"1,568","1,555",840,589,68,"1,430",125,"1,332",0.0%,0.0%,0.0%,0.0%,0.0%,14.5%,46.9,553.70,"CHEROKEE COUNTY, ALABAMA",01019
